"speciesCode","commonName","order","scientificName","COSEWIC","Cavity","Waterfowl","Marine_Birds","Shorebirds","Wetland_Birds","Birds_of_Prey","Forest_Birds","Grassland_Birds","Aerial_Insectivores","Arctic_Birds"
"OVEN","Ovenbird","Passeriformes","Seiurus aurocapilla",0,0,0,0,0,0,0,1,0,0,0
"PAWA","Palm Warbler","Passeriformes","Setophaga palmarum",0,0,0,0,0,0,0,0,0,0,0
"PHVI","Philadelphia Vireo","Passeriformes","Vireo philadelphicus",0,0,0,0,0,0,0,1,0,0,0
"PIWO","Pileated Woodpecker","Piciformes","Dryocopus pileatus",0,1,0,0,0,0,0,1,0,0,0
"PIGR","Pine Grosbeak","Passeriformes","Pinicola enucleator",0,0,0,0,0,0,0,1,0,0,0
"PISI","Pine Siskin","Passeriformes","Spinus pinus",0,0,0,0,0,0,0,1,0,0,0
"PIWA","Pine Warbler","Passeriformes","Setophaga pinus",0,0,0,0,0,0,0,1,0,0,0
"PUFI","Purple Finch","Passeriformes","Haemorhous purpureus",0,0,0,0,0,0,0,1,0,0,0
"RECR","Red Crossbill","Passeriformes","Loxia curvirostra",1,0,0,0,0,0,0,1,0,0,0
"RBNU","Red-breasted Nuthatch","Passeriformes","Sitta canadensis",0,1,0,0,0,0,0,1,0,0,0
"REVI","Red-eyed Vireo","Passeriformes","Vireo olivaceus",0,0,0,0,0,0,0,1,0,0,0
"RWBL","Red-winged Blackbird","Passeriformes","Agelaius phoeniceus",0,0,0,0,0,1,0,0,0,0,0
"ROPI","Rock Pigeon","Columbiformes","Columba livia",0,0,0,0,0,0,0,0,0,0,0
"RBGR","Rose-breasted Grosbeak","Passeriformes","Pheucticus ludovicianus",0,0,0,0,0,0,0,1,0,0,0
"RCKI","Ruby-crowned Kinglet","Passeriformes","Corthylio calendula",0,0,0,0,0,0,0,1,0,0,0
"RTHU","Ruby-throated Hummingbird","Apodiformes","Archilochus colubris",0,0,0,0,0,0,0,1,0,0,0
"RUGR","Ruffed Grouse","Galliformes","Bonasa umbellus",0,0,0,0,0,0,0,1,0,0,0
"RUBL","Rusty Blackbird","Passeriformes","Euphagus carolinus",1,0,0,0,0,0,0,0,0,0,0
"SAVS","Savannah Sparrow","Passeriformes","Passerculus sandwichensis",1,0,0,0,0,0,0,0,1,0,0
"SCTA","Scarlet Tanager","Passeriformes","Piranga olivacea",0,0,0,0,0,0,0,1,0,0,0
"SEWR","Sedge Wren","Passeriformes","Cistothorus stellaris",0,0,0,0,0,1,0,0,0,0,0
"SOSA","Solitary Sandpiper","Charadriiformes","Tringa solitaria",0,0,0,0,1,0,0,0,0,0,0
"SOSP","Song Sparrow","Passeriformes","Melospiza melodia",0,0,0,0,0,0,0,0,0,0,0
"SOGR","Sooty Grouse","Galliformes","Dendragapus fuliginosus",0,0,0,0,0,0,0,1,0,0,0
"SPSA","Spotted Sandpiper","Charadriiformes","Actitis macularius",0,0,0,0,1,1,0,0,0,0,0
"SWTH","Swainson's Thrush","Passeriformes","Catharus ustulatus",0,0,0,0,0,0,0,1,0,0,0
"SWSP","Swamp Sparrow","Passeriformes","Melospiza georgiana",0,0,0,0,0,1,0,0,0,0,0
"TEWA","Tennessee Warbler","Passeriformes","Leiothlypis peregrina",0,0,0,0,0,0,0,1,0,0,0
"TOSO","Townsend's Solitaire","Passeriformes","Myadestes townsendi",0,0,0,0,0,0,0,1,0,0,0
"TOWA","Townsend's Warbler","Passeriformes","Setophaga townsendi",0,0,0,0,0,0,0,1,0,0,0
"TRES","Tree Swallow","Passeriformes","Tachycineta bicolor",0,1,0,0,0,0,0,0,0,1,0
"UPSA","Upland Sandpiper","Charadriiformes","Bartramia longicauda",0,0,0,0,1,0,0,0,1,0,0
"VATH","Varied Thrush","Passeriformes","Ixoreus naevius",0,0,0,0,0,0,0,1,0,0,0
"VEER","Veery","Passeriformes","Catharus fuscescens",0,0,0,0,0,0,0,1,0,0,0
"VESP","Vesper Sparrow","Passeriformes","Pooecetes gramineus",0,0,0,0,0,0,0,0,1,0,0
"WAVI","Warbling Vireo","Passeriformes","Vireo gilvus",0,0,0,0,0,0,0,1,0,0,0
"WETA","Western Tanager","Passeriformes","Piranga ludoviciana",0,0,0,0,0,0,0,1,0,0,0
"WEWP","Western Wood-Pewee","Passeriformes","Contopus sordidulus",0,0,0,0,0,0,0,1,0,1,0
"WBNU","White-breasted Nuthatch","Passeriformes","Sitta carolinensis",0,1,0,0,0,0,0,1,0,0,0
"WCSP","White-crowned Sparrow","Passeriformes","Zonotrichia leucophrys",0,0,0,0,0,0,0,0,0,0,0
"WTSP","White-throated Sparrow","Passeriformes","Zonotrichia albicollis",0,0,0,0,0,0,0,1,0,0,0
"WWCR","White-winged Crossbill","Passeriformes","Loxia leucoptera",0,0,0,0,0,0,0,1,0,0,0
"WIPT","Willow Ptarmigan","Galliformes","Lagopus lagopus",0,0,0,0,0,0,0,0,0,0,1
"WISN","Wilson's Snipe","Charadriiformes","Gallinago delicata",0,0,0,0,1,1,0,0,0,0,0
"WIWA","Wilson's Warbler","Passeriformes","Cardellina pusilla",0,0,0,0,0,0,0,0,0,0,0
"WIWR","Winter Wren","Passeriformes","Troglodytes hiemalis",0,1,0,0,0,0,0,1,0,0,0
"WOTH","Wood Thrush","Passeriformes","Hylocichla mustelina",1,0,0,0,0,0,0,1,0,0,0
"YEWA","Yellow Warbler","Passeriformes","Setophaga petechia",0,0,0,0,0,1,0,0,0,0,0
"YBFL","Yellow-bellied Flycatcher","Passeriformes","Empidonax flaviventris",0,0,0,0,0,0,0,1,0,1,0
"YBSA","Yellow-bellied Sapsucker","Piciformes","Sphyrapicus varius",0,1,0,0,0,0,0,1,0,0,0
"YHBL","Yellow-headed Blackbird","Passeriformes","Xanthocephalus xanthocephalus",0,0,0,0,0,1,0,0,0,0,0
"YRWA","Yellow-rumped Warbler","Passeriformes","Setophaga coronata",0,0,0,0,0,0,0,1,0,0,0
"YTVI","Yellow-throated Vireo","Passeriformes","Vireo flavifrons",0,0,0,0,0,0,0,1,0,0,0
